Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
rwg_tile_countrytown_t_zztong_01,POI,POIName,,x,Country Town,,Landstadt,Ciudad rural,Ville de campagne,Città di campagna,カントリータウン,컨트리 타운,Miasteczko,Cidade do país,Загородный город,Ülke kasabası,乡镇中心,鄉村小鎮
rwg_tile_downtown_intersection_zztong_01,POI,POIName,,x,Downtown,,Innenstadt,Centro,Centre-ville,Centro,ダウンタウン,도심,Śródmieście,Centro da cidade,Центр города,Şehir merkezi,市中心,市中心
rwg_tile_downtown_intersection_zztong_02,POI,POIName,,x,Downtown,,Innenstadt,Centro,Centre-ville,Centro,ダウンタウン,도심,Śródmieście,Centro da cidade,Центр города,Şehir merkezi,市中心,市中心
rwg_tile_downtown_intersection_zztong_03,POI,POIName,,x,Downtown,,Innenstadt,Centro,Centre-ville,Centro,ダウンタウン,도심,Śródmieście,Centro da cidade,Центр города,Şehir merkezi,市中心,市中心
rwg_tile_downtown_intersection_zztong_04,POI,POIName,,x,Downtown,,Innenstadt,Centro,Centre-ville,Centro,ダウンタウン,도심,Śródmieście,Centro da cidade,Центр города,Şehir merkezi,市中心,市中心
rwg_tile_gateway_intersection_zztong_01,POI,POIName,,x,Gateway,,Tor,Puerta,Porte,Gateway,ゲートウェイ,게이트웨이,Wejście,Portal,Ворота,Geçit,交通枢纽,網關
rwg_tile_gateway_intersection_zztong_02,POI,POIName,,x,Gateway,,Tor,Puerta,Porte,Gateway,ゲートウェイ,게이트웨이,Wejście,Portal,Ворота,Geçit,交通枢纽,網關
rwg_tile_gateway_intersection_zztong_03,POI,POIName,,x,Gateway Bartertown,,Gateway Bartertown,Gateway Bartertown,Gateway Bartertown,Gateway Bartertown,ゲートウェイバータータウン,게이트웨이 Bartertown,Gateway Bartertown,Gateway Bartertown,Gateway Bartertown,Gateway Bartertown,易货镇枢纽,門戶易貨鎮
rwg_tile_gateway_straight_zztong_01,POI,POIName,,x,Gateway Construction,,Gateway -Konstruktion,Construcción de puerta de enlace,Construction de passerelle,Costruzione di gateway,ゲートウェイ構造,게이트웨이 구조,Konstrukcja bramy,Construção de Gateway,Враща строительство,Ağ Geçidi İnşaatı,在建交通枢纽,網關構造
rwg_tile_gateway_straight_zztong_02,POI,POIName,,x,Gateway Causeway,,Gateway Causeway,Calzada de la puerta de entrada,Chaussée de passerelle,Causeway Gateway,ゲートウェイコーズウェイ,게이트웨이 둑길,Gateway Causeway,Gateway Causeway,Gateway Causeway,Ağ Geçidi Geçidi,堤道枢纽,網關堤道
rwg_tile_gateway_straight_zztong_03,POI,POIName,,x,Gateway Tunnel,,Gateway -Tunnel,Túnel de puerta de enlace,Tunnel de passerelle,Tunnel gateway,ゲートウェイトンネル,게이트웨이 터널,Tunel bramy,Túnel de gateway,Шлюз туннель,Ağ geçidi tüneli,隧道枢纽,網關隧道
rwg_tile_gateway_straight_zztong_04,POI,POIName,,x,Gateway Bridge,,Gateway Bridge,Puente de la puerta de enlace,Pont de passerelle,Ponte gateway,ゲートウェイブリッジ,게이트웨이 브리지,Most bramy,Ponte de gateway,Мост,Ağ Geçidi Köprüsü,桥梁枢纽,門戶橋
rwg_tile_gateway_straight_zztong_05,POI,POIName,,x,Gateway,,Tor,Puerta,Porte,Gateway,ゲートウェイ,게이트웨이,Wejście,Portal,Ворота,Geçit,交通枢纽,網關
rwg_tile_gateway_straight_zztong_06,POI,POIName,,x,Gateway,,Tor,Puerta,Porte,Gateway,ゲートウェイ,게이트웨이,Wejście,Portal,Ворота,Geçit,交通枢纽,網關
rwg_tile_gateway_straight_zztong_07,POI,POIName,,x,Gateway,,Tor,Puerta,Porte,Gateway,ゲートウェイ,게이트웨이,Wejście,Portal,Ворота,Geçit,交通枢纽,網關
rwg_tile_gateway_straight_zztong_08,POI,POIName,,x,Gateway,,Tor,Puerta,Porte,Gateway,ゲートウェイ,게이트웨이,Wejście,Portal,Ворота,Geçit,交通枢纽,網關
rwg_tile_gateway_t_zztong_01,POI,POIName,,x,Gateway,,Tor,Puerta,Porte,Gateway,ゲートウェイ,게이트웨이,Wejście,Portal,Ворота,Geçit,交通枢纽,網關
rwg_tile_gateway_t_zztong_02,POI,POIName,,x,Gateway Reservoir,,Gateway Reservoir,Depósito de puerta de enlace,Réservoir de passerelle,Gateway Reservoir,ゲートウェイ貯水池,게이트웨이 저수지,Zbiornik bramy,Reservatório de gateway,Воротный водохранилище,Ağ geçidi rezervuarı,枢纽水库,網關水庫
rwg_tile_residential_cap_zztong_01,POI,POIName,,x,Residential,,Wohnen,Residencial,Residential,Residenziale,居住の,주거,Mieszkaniowy,residencial,Жилой,yerleşim,住宅区,住宅
rwg_tile_residential_corner_zztong_01,POI,POIName,,x,Residential,,Wohnen,Residencial,Residential,Residenziale,居住の,주거,Mieszkaniowy,residencial,Жилой,yerleşim,住宅区,住宅
rwg_tile_residential_intersection_zztong_01,POI,POIName,Residential,x,,,,,,,,,,,,,住宅区,
rwg_tile_residential_straight_zztong_01,POI,POIName,,x,Residential,,Wohnen,Residencial,Residential,Residenziale,居住の,주거,Mieszkaniowy,residencial,Жилой,yerleşim,住宅区,住宅
rwg_tile_residential_straight_zztong_02,POI,POIName,,x,Residential,,Wohnen,Residencial,Residential,Residenziale,居住の,주거,Mieszkaniowy,residencial,Жилой,yerleşim,住宅区,住宅
rwg_tile_residential_t_zztong_01,POI,POIName,,x,Residential,,Wohnen,Residencial,Residential,Residenziale,居住の,주거,Mieszkaniowy,residencial,Жилой,yerleşim,住宅区,住宅
rwg_tile_residential_t_zztong_02,POI,POIName,,x,Residential,,Wohnen,Residencial,Residential,Residenziale,居住の,주거,Mieszkaniowy,residencial,Жилой,yerleşim,住宅区,住宅
rwg_tile_rural_cap_zztong_01,POI,POIName,,x,Rural,,Ländlich,Rural,Rural,Rurale,田舎,시골의,Wiejski,Rural,Деревенский,Kırsal,乡野,鄉村的
rwg_tile_rural_cap_zztong_02,POI,POIName,,x,Rural,,Ländlich,Rural,Rural,Rurale,田舎,시골의,Wiejski,Rural,Деревенский,Kırsal,乡野,鄉村的
rwg_tile_rural_cap_zztong_03,POI,POIName,,x,Rural,,Ländlich,Rural,Rural,Rurale,田舎,시골의,Wiejski,Rural,Деревенский,Kırsal,乡野,鄉村的
rwg_tile_rural_corner_zztong_01,POI,POIName,,x,Rural,,Ländlich,Rural,Rural,Rurale,田舎,시골의,Wiejski,Rural,Деревенский,Kırsal,乡野,鄉村的
rwg_tile_rural_corner_zztong_02,POI,POIName,,x,Rural,,Ländlich,Rural,Rural,Rurale,田舎,시골의,Wiejski,Rural,Деревенский,Kırsal,乡野,鄉村的
rwg_tile_rural_corner_zztong_03,POI,POIName,,x,Rural,,Ländlich,Rural,Rural,Rurale,田舎,시골의,Wiejski,Rural,Деревенский,Kırsal,乡野,鄉村的
rwg_tile_rural_corner_zztong_04,POI,POIName,,x,Rural,,Ländlich,Rural,Rural,Rurale,田舎,시골의,Wiejski,Rural,Деревенский,Kırsal,乡野,鄉村的
rwg_tile_rural_corner_zztong_05,POI,POIName,,x,Rural,,Ländlich,Rural,Rural,Rurale,田舎,시골의,Wiejski,Rural,Деревенский,Kırsal,乡野,鄉村的
rwg_tile_rural_corner_zztong_06,POI,POIName,,x,Rural,,Ländlich,Rural,Rural,Rurale,田舎,시골의,Wiejski,Rural,Деревенский,Kırsal,乡野,鄉村的
rwg_tile_rural_intersection_zztong_01,POI,POIName,,x,Rural,,Ländlich,Rural,Rural,Rurale,田舎,시골의,Wiejski,Rural,Деревенский,Kırsal,乡野,鄉村的
rwg_tile_rural_straight_zztong_01,POI,POIName,,x,Rural,,Ländlich,Rural,Rural,Rurale,田舎,시골의,Wiejski,Rural,Деревенский,Kırsal,乡野,鄉村的
rwg_tile_rural_t_zztong_01,POI,POIName,,x,Rural,,Ländlich,Rural,Rural,Rurale,田舎,시골의,Wiejski,Rural,Деревенский,Kırsal,乡野,鄉村的
rwg_tile_rural_t_zztong_02,POI,POIName,,x,Rural,,Ländlich,Rural,Rural,Rurale,田舎,시골의,Wiejski,Rural,Деревенский,Kırsal,乡野,鄉村的
rwg_tile_rural_t_zztong_03,POI,POIName,,x,Rural,,Ländlich,Rural,Rural,Rurale,田舎,시골의,Wiejski,Rural,Деревенский,Kırsal,乡野,鄉村的
rwg_tile_rural_t_zztong_04,POI,POIName,,x,Rural,,Ländlich,Rural,Rural,Rurale,田舎,시골의,Wiejski,Rural,Деревенский,Kırsal,乡野,鄉村的
rwg_tile_rural_t_zztong_05,POI,POIName,,x,Rural,,Ländlich,Rural,Rural,Rurale,田舎,시골의,Wiejski,Rural,Деревенский,Kırsal,乡野,鄉村的
rwg_tile_rural_t_zztong_06,POI,POIName,,x,Rural,,Ländlich,Rural,Rural,Rurale,田舎,시골의,Wiejski,Rural,Деревенский,Kırsal,乡野,鄉村的
trader_bobx,POI,POI,,x,Trader Bob,,Händler Bob,Trader Bob,Commerçant Bob,Trader Bob,トレーダーボブ,상인 밥,Trader Bob,Trader Bob,Трейдер Боб,Tüccar bob,商人鲍勃,交易者鮑勃
trader_hughx,POI,POI,,x,Trader Hugh,,Händler Hugh,Comerciante hugh,Trader Hugh,Trader Hugh,トレーダーヒュー,상인 휴,Trader Hugh,Trader Hugh,Трейдер Хью,Tüccar hugh,商人休,交易者休
trader_jenx,POI,POI,,x,Trader Jen,,Händler Jen,Comerciante jen,Trader Jen,Trader Jen,トレーダージェン,상인 젠,Trader Jen,Trader Jen,Трейдер Джен,Tüccar jen,商人珍,交易者Jen
trader_joelx,POI,POI,,x,Trader Joel,,Händler Joel,Trader Joel,Trader Joel,Trader Joel,トレーダージョエル,상인 조엘,Trader Joel,Trader Joel,Трейдер Джоэл,Tüccar joel,商人乔尔,交易者喬爾
trader_rektx,POI,POI,,x,Trader Rekt,,Trader Rekt,Trader Rekt,Trader Rekt,Trader Rekt,トレーダーレクト,상인 rekt,Trader Rekt,Trader Rekt,Трейдер Рект,Tüccar rekt,商人雷克特,Trader Rekt
zztong_adot_01,POI,POI,,x,AZ Dept of Transportation,,Transportabteilung,AZ Departamento de Transporte,Département des transports AZ,AZ Dipartimento di trasporto,AZ輸送部,AZ 교통부,Departament Transportu AZ,Departamento de Transporte AZ,AZ Dept of Transportation,AZ Ulaşım Bölümü,亚利桑那交通部,亞利桑那州運輸部
zztong_apartment_01,POI,POI,,x,Riverstone Apartments,,Riverstone Apartments,Apartamentos Riverstone,Appartements Riverstone,Riverstone Apartments,リバートーンアパートメント,Riverstone 아파트,Riverstone Apartments,Apartamentos Riverstone,Апартаменты Riverstone,Riverstone daireleri,河石公寓,Riverstone公寓
zztong_apartment_02,POI,POI,,x,Crescent Apartments,,Crescent Apartments,Apartamentos de la media luna,Croissant-appartements,Appartamenti a mezzaluna,三日月のアパート,초승달 아파트,Crescent Apartments,Apartamentos Crescentes,Полумесятельные квартиры,Hilal daireleri,新月公寓,新月公寓
zztong_apartment_03,POI,POI,,x,Tranquil Villa Apartments,,Ruhige Villa Apartments,Apartamentos de villa tranquilos,Appartements de villa tranquille,Appartamenti tranquilli villa,静かなヴィラアパートメント,고요한 빌라 아파트,Spokojne apartamenty willi,Apartamentos tranquilos da vila,Прямые виллы квартиры,Tranquil Villa Daireleri,宁静别墅公寓,寧靜的別墅公寓
zztong_balloon_safari_01,POI,POI,,x,Navezgane Balloon Safari,,Navezgane Ballon Safari,Safari de globo de Návezgane,NAVEZGANE Balloon Safari,Navezgane Balloon Safari,ナベズガンバルーンサファリ,Navezgane Balloon Safari,Navezgane Balloon Safari,Safari de Balão de Navezgane,Сафари для баллона Навезгана,Navezgane Balon Safari,纳维加纳热气球观光,Navezgane氣球野生動物園
zztong_bar_pool_01,POI,POI,,x,Hoot-n-Holler Bar,,Hoot-N-Holler-Bar,Barra de artilleras,Bar Hoot-n-Holler,Hoot-N-Holler Bar,Hoot-n-Hollerバー,Hoot-n-Holler 바,Hoot-N-Holler Bar,Barra de Hoot-N-Holler,Hoot-N-Holler Bar,Hoot-N-Holler çubuğu,呼喝酒吧,hoot-n-holler bar
zztong_bartertown_bobx,POI,POI,,x,Barter Town Bob,,Tauschstadt Bob,Trueque de la ciudad bob,Bob de la ville de troc,BARTER CITTÀ BOB,バータータウンボブ,물물 교환 타운 밥,BARTER TOWN BOB,Bob da cidade de troca,Бартер город Боб,Barkter Town Bob,易货镇鲍勃,易貨鎮鮑勃
zztong_bartertown_hughx,POI,POI,,x,Barter Town Hugh,,TARTER TOWN HUGH,Trueque Town Hugh,Barter Town Hugh,Barter Town Hugh,バータータウンヒュー,물물 교환 도시 휴,BARTER TOWN HUGH,Town de troca Hugh,Бартер Таун Хью,Barkter Town Hugh,易货镇休,易貨鎮休
zztong_bartertown_jenx,POI,POI,,x,Barter Town Jen,,Tauschstadt Jen,Trueque de la ciudad jen,Barter Town Jen,Barter Town Jen,バータータウンジェン,물물 교환 젠,BARTER TOWN JEN,Town de troca Jen,Бартер Таун Джен,Barkter Town Jen,易货镇珍,易貨鎮詹
zztong_bartertown_joelx,POI,POI,,x,Barter Town Joel,,Tauschstadt Joel,Trueque Town Joel,Barter Town Joel,Barter Town Joel,バータータウンジョエル,물물 교환 도시 조엘,BARTER TOWN JOEL,Town de troca Joel,Бартер Таун Джоэл,Barkter Town Joel,易货镇乔尔,易貨鎮喬爾
zztong_bartertown_rektx,POI,POI,,x,Barter Town Rekt,,TARTER TOWN REKT,Trueque Town Rekt,Troc,Barter Town Rekt,物々交換タウンレクト,물물 교환 도시 Rekt,BARTER TOWN REKT,Town de troca Rekt,Бартер Таун Рект,Barkter Town Rekt,易货镇雷克特,易貨鎮Rekt
zztong_biowaste_dump_01,POI,POI,,x,Biowaste Dump,,Biowaste Dump,Volcado de biowaste,Décharge de biowaste,Dump di biowaste,BioWaste Dump,BioWaste 덤프,Zrzut biowastowy,Biowaste Dump,BioWaste Damp,BioWaste dökümü,生化废料场,生物塑料垃圾場
zztong_brownstones_01,POI,POI,,x,Brownstone Apartments,,Brownstone Apartments,Apartamentos de piedra rojiza,Appartements de brun-pierre,APPARTAMENTI CONSEGNA,ブラウンストーンのアパート,브라운 스톤 아파트,Brownstone Apartments,Apartamentos de Brownstone,Квартиры из коричневого камня,Brownstone daireleri,褐石公寓,棕色公寓
zztong_buried_treasure_02,POI,POI,,x,Magnetic Anomaly,,Magnetische Anomalie,Anomalía magnética,Anomalie magnétique,Anomalia magnetica,磁気異常,자기 이상,Anomalia magnetyczna,Anomalia magnética,Магнитная аномалия,Manyetik anomali,磁力异常区,磁異常
zztong_cabin_fort_01,POI,POI,,x,Cabin Fort,,Kabine Fort,Fuerte de la cabina,Fort de cabine,Forte della cabina,キャビンフォート,오두막 요새,Fort kabiny,Fort da cabine,Каюта Форт,Kabin kalesi,木屋堡垒,小屋堡
zztong_cabin_01,POI,POI,,x,Darin's Cabin,,Darins Kabine,Cabina de Darin,Cabine de Darin,La cabina di Darin,ダリンのキャビン,DARIN의 오두막,Kabina Darina,Cabine de Darin,Кабина Дарина,Darin'in Kabini,达林小屋,達林的小屋
zztong_cabin_02,POI,POI,,x,Hobart's Cabin,,Hobart's Kabine,Cabina de Hobart,Cabine de Hobart,La cabina di Hobart,ホバートのキャビン,호바트의 오두막,Kabina Hobarta,Cabine de Hobart,Каюта Хобарта,Hobart'ın Kabini,霍巴特小屋,霍巴特的小屋
zztong_car_show_01,POI,POI,,x,Car Show,,Auto Show,Show de autos,Salon de l'automobile,Spettacolo automobilistico,カーショー,자동차 쇼,Pokaz samochodowy,Show de carros,Авто шоу,Araba şovu,车展中心,車展
zztong_car_wash_01,POI,POI,,x,Kwik Kleen Car Wash,,Kwik Kleen Autowaschanlage,Kwik Kleen Car Wash,Kwik Kleen Car Wash,Autolavaggio Kwik Kleen,Kwik Kleen Car Wash,Kwik Kleen Car Wash,Kwik Kleen Wash,Lavagem do carro Kwik Kleen,Kwik Kleen Car Wash,Kwik Kleen Araba Yıkama,快洁洗车行,Kwik Kleen洗車
zztong_cave_01,POI,POI,,x,Spelunking Adventures,,Abenteuer ausbreiten,Aventuras de espeleología,Aventures de spenking,Avventure spelunking,冒険の冒険,Spelunking 모험,Splunking Adventures,Aventuras de Spelunking,Приключения Spelunking,Spelunking Maceraları,洞穴探险,Spelunking冒險
zztong_cement_plant_01,POI,POI,,x,Cement Plant,,Zementanlage,Planta de cemento,Ciment,Pianta di cemento,セメント植物,시멘트 공장,Zakład cementowy,Planta de cimento,Цементное растение,Çimento bitkisi,水泥厂,水泥廠
zztong_cheerdancegym_01,POI,POI,,x,Navezgane Gymnastics,,Navezgane Gymnastik,Gimnasia de Navezgane,Gymnastique de Navezgane,Ginnastica Navezgane,ナベズガンの体操,Navezgane 체조,Navezgane gimnastyka,Ginástica Navezgane,Навзгане гимнастика,Navezgane Jimnastik,纳维加纳体操馆,Navezgane體操
zztong_containers_01,POI,POI,,x,Containers,,Behälter,Contenedores,Conteneurs,Containers,コンテナ,컨테이너,Pojemniki,Contêineres,Контейнеры,Kaplar,集装箱堆场,容器
zztong_crater_01,POI,POI,,x,Crater,,Krater,Cráter,Cratère,Cratere,クレーター,분화구,Krater,Cratera,Кратер,Krater,陨石坑,火山口
zztong_cryptominer_01,POI,POI,,x,Cryptominer,,Kryptominer,Criptominero,Cryptominer,Criptominer,CryptoMiner,크립토 미너,Kryptominer,Cryptominer,Криптоминер,Kriptominer,加密矿场,隱秘者
zztong_delos_oldwest_01,POI,POI,,x,Delos Hotel,,Delos Hotel,Hotel Delos,Hôtel Delos,Delos Hotel,デロスホテル,델로스 호텔,Hotel Delos,Delos Hotel,Delos Hotel,Delos Hotel,迪洛斯酒店,德洛斯酒店
zztong_dog_park_01,POI,POI,,x,Dog Park,,Hundepark,Parque para perros,Parc de chiens,Parco per cani,ドッグパーク,개 공원,Park dla psów,Parque de cachorro,Собачий парк,Köpek parkı,狗狗公园,狗公園
zztong_drive_in_movie_01,POI,POI,,x,Starlight Drive-In,,Starlight Drive-In,Starlight Drive-in,Starlight Drive-in,Starlight Drive-in,スターライトドライブイン,스타 라이트 드라이브 인,Starlight Drive-in,Starlight Drive-In,Starlight Drive-In,Starlight Drive-In,星光汽车影院,星光開車
zztong_drive_thru_01,POI,POI,,x,Drive-Thru,,Autorestaurant,Auto-servicio,Drive-thru,Percorribile in auto,ドライブスルー,드라이브 스루,Przejazd,Drive thru,Автокафе,Arabaya servis,得来速,得來速
zztong_electrical_substation_01,POI,POI,,x,Electrical Substation,,Elektrische Unterstation,Subestación eléctrica,Sous-station électrique,Sottostazione elettrica,電流電流,전기 변전소,Podstacja elektryczna,Subestação elétrica,Электрическая подстанция,Elektrik trafo merkezi,变电站,電相變
zztong_ems_01,POI,POI,,x,Emergency Medical Services,,Rettungsdienste,Servicios médicos de emergencia,Services médicaux d'urgence,Servizi medici di emergenza,救急医療サービス,응급 의료 서비스,Ratunkowe usługi medyczne,Serviços médicos de emergência,Служба неотложной медицинской помощи,Acil tıbbi hizmetler,急救医疗站,緊急醫療服務
zztong_farm_01,POI,POI,,x,Back Forty Farm,,Zurück vierzig Farm,De vuelta con cuarenta granja,Retour quarante ferme,Back quaranta fattoria,40の農場に戻る,40 대 농장,Z powrotem czterdzieści farm,De volta quarenta fazenda,Задняя часть Фермы,Geri kırk çiftlik,后四十农场,後四個農場
zztong_farm_02,POI,POI,,x,Gentle Pony Farm,,Sanfte Ponyfarm,Granja de pony suave,Ferme de poney douce,Gentle Pony Farm,穏やかなポニーファーム,부드러운 조랑말 농장,Delikatna farma kucyka,Fazenda de pônei suave,Нежная пони ферма,Nazik midilli çiftliği,温和小马农场,溫柔的小馬農場
zztong_farm_03,POI,POI,,x,Sunset Farm,,Sunset Farm,Granja del atardecer,Sunset Farm,Sunset Farm,サンセットファーム,선셋 농장,Sunset Farm,Fazenda ao Sunset,Sunset Farm,Gün batımı çiftliği,日落农场,日落農場
zztong_farm_04,POI,POI,,x,Lakeview Farm,,Lakeview Farm,Granja de lakeview,Lakeview Farm,Lakeview Farm,レイクビューファーム,레이크 뷰 농장,Lakeview Farm,Lakeview Farm,Lakeview Farm,Lakeview Çiftliği,湖景农场,湖景農場
zztong_farm_05,POI,POI,,x,Birchfield Farm,,Birchfield Farm,Granja birchfield,Ferme de bouleau,Birchfield Farm,バーチフィールドファーム,버치 필드 농장,Farma Birchfield,Fazenda Birchfield,Ферма Бёрчфилда,Birchfield Çiftliği,桦木田农场,伯奇菲爾德農場
zztong_farm_06,POI,POI,,x,Trailer Farm,,Anhängerfarm,Granja de remolques,Ferme de roulottes,Trailer Farm,トレーラーファーム,트레일러 농장,Farma przyczepy,Fazenda de trailers,Трейлер ферма,Römork çiftliği,拖车农场,拖車農場
zztong_farm_07,POI,POI,,x,Cluck-Off Poultry,,Cluck-off Geflügel,Aves de corral,Volaille en gras,Pollame di cluck-off,クロックオフ家禽,가금류,Drób off-Off,Aves cutucadas,Cluck-Off Poultry,Kluch kapalı kümes hayvanları,咯咯家禽场,笨拙的家禽
zztong_farm_08,POI,POI,,x,Harvest Moon Farm,,Erntemondfarm,Harvest Moon Farm,Harvest Moon Farm,Harvest Moon Farm,ハーベストムーンファーム,수확 달 농장,Harvest Moon Farm,Harvest Moon Farm,Ферма Harvest Moon,Hasat Ay Çiftliği,丰收月农场,收穫月亮農場
zztong_farm_09,POI,POI,,x,AgriSolar Farm,,Agrisolar Farm,Granja agrisolar,Ferme agrisolaire,Fattoria agrisolare,アグリソルファーム,농업 농장,Farma rolnicza,Fazenda Agrisolar,Агризолярная ферма,Tarım çiftliği,农业光伏农场,農業農場
zztong_farmers_market_01,POI,POI,,x,Farmers Market,,Bauernmarkt,Mercado de agricultores,Marché de producteurs,Mercato degli agricoltori,ファーマーズマーケット,농민 시장,Rynek rolników,Mercado de agricultores,Фермерский рынок,Çiftçi Pazarı,农夫市集,農貿市場
zztong_fieldday_01,POI,POI,,x,HAM Radio Field Day,,Schinken -Radio -Feldtag,Día de campo de Radio Ham,Journée sur le terrain de la radio Ham,Ham Radio Field Day,ハムラジオフィールドデー,햄 라디오 필드 데이,Dzień pola radiowego szynki,Dia do Rádio do Ham,День полевого поля ветки,Ham Radyo Sahası Günü,业余无线电活动日,火腿無線電場日
zztong_field_aloe_01,POI,POI,,x,Aloe Field,,Aloe Field,Campo de aloe,Champ d'aloès,Campo di aloe,アロエフィールド,알로에 필드,Pole Aloe,Aloe Field,Алоэ поле,Aloe alanı,芦荟田,蘆薈田
zztong_field_animals_01,POI,POI,,x,Pasture,,Weide,Pastar,Pâturage,Pascolo,牧草地,목장,Pastwisko,Pasto,Пастбище,Otlak,牧场,牧場
zztong_field_blueberry_01,POI,POI,,x,Blueberry Field,,Blaubeerfeld,Campo de arándanos,Champ de myrtille,Campo di mirtillo,ブルーベリーフィールド,블루 베리 필드,Pole jagodowe,Campo de mirtilo,Черничное поле,Yaban mersini alanı,蓝莓田,藍莓場
zztong_field_chickens_01,POI,POI,,x,Chicken Hutch,,Hühnerhütte,Cáscara de pollo,Huche de poulet,Hutch di pollo,チキンハッチ,치킨 허치,Hutch z kurczaka,Cabana de frango,Куриная клетчатая,Tavuk kafesi,鸡舍,雞肉廚具
zztong_field_coffee_01,POI,POI,,x,Coffee Field,,Kaffeefeld,Campo de café,Champ de café,Campo di caffè,コーヒーフィールド,커피 필드,Pole kawowe,Campo de café,Кофейное поле,Kahve alanı,咖啡田,咖啡場
zztong_field_corn_01,POI,POI,,x,Corn Field,,Maisfeld,Campo de maíz,Champ de maïs,Campo di mais,コーンフィールド,옥수수 필드,Pole kukurydzy,Campo de milho,Кукурузное поле,Mısır tarlası,玉米田,玉米場
zztong_field_cotton_01,POI,POI,,x,Cotton Field,,Baumwollfeld,Campo de algodón,Champ de coton,Campo di cotone,コットンフィールド,면장,Pole bawełniane,Campo de algodão,Хлопковое поле,Pamuk alanı,棉花田,棉田
zztong_field_fish_01,POI,POI,,x,Fishery,,Fischerei,Pesquería,Pêcherie,Pesca,漁業,어업,Rybołówstwo,Pesca,Промысел,Balıkçılık,渔场,漁業
zztong_field_hop_01,POI,POI,,x,Hop Field,,Hopfenfeld,Campo de lúpulo,Champ de houblon,Campo di luppolo,ホップフィールド,홉 필드,Pole chmielowe,Campo de salto,Прыжок,Atlama alanı,啤酒花田,跳場
